,Teams,Type of Match,Date,Time,Venues,Series,Latitiude,Longitude
0,ZIM vs IND,2nd T20I,"Jun 20,2016",16:30 (IST)," Harare Sports Club, Harare "," India in Zimbabwe, 3 T20 International Series, 2016 ",-17.7996766,31.0170247
1,ENG vs SL,1st ODI,"Jun 21,2016",18:30 (IST)," Trent Bridge, Nottingham "," Sri Lanka in England, 5 ODI Series, 2016 ",52.937772,-1.1313849
2,WI vs AUS,Match 8,"Jun 21,2016",22:30 (IST)," Kensington Oval, Bridgetown, Barbados "," West Indies Tri-Nation Series, 2016 ",13.1057481,-59.6227946
3,ZIM vs IND,3rd T20I,"Jun 22,2016",16:30 (IST)," Harare Sports Club, Harare "," India in Zimbabwe, 3 T20 International Series, 2016 ",-17.7996766,31.0170247
4,WI vs SA,Match 9,"Jun 24,2016",22:30 (IST)," Kensington Oval, Bridgetown, Barbados "," West Indies Tri-Nation Series, 2016 ",13.1057481,-59.6227946
5,ENG vs SL,2nd ODI,"Jun 24,2016",18:30 (IST)," Edgbaston, Birmingham "," Sri Lanka in England, 5 ODI Series, 2016 ",52.4608009,-1.914995
6,ENG vs SL,3rd ODI,"Jun 26,2016",15:00 (IST)," County Ground, Bristol "," Sri Lanka in England, 5 ODI Series, 2016 ",42.0313267,-71.2588834
7,TBC vs TBC,Final,"Jun 26,2016",22:30 (IST)," Kensington Oval, Bridgetown, Barbados "," West Indies Tri-Nation Series, 2016 ",13.1057481,-59.6227946
8,ENG vs SL,4th ODI,"Jun 29,2016",17:30 (IST)," The Oval, London "," Sri Lanka in England, 5 ODI Series, 2016 ",51.5329973,-0.0590888
9,ENG vs SL,5th ODI,"Jul 02,2016",15:00 (IST)," Sophia Gardens, Cardiff "," Sri Lanka in England, 5 ODI Series, 2016 ",51.484295,-3.1895088
10,SCO vs AFG,1st ODI,"Jul 04,2016",15:15 (IST)," Grange Cricket Club, Raeburn Place, Edinburgh "," Afghanistan in Scotland, 2 ODI Series, 2016 ",55.95913780000001,-3.2127506
11,ENG vs SL,One-off T20I,"Jul 05,2016",23:00 (IST)," The Rose Bowl, Southampton "," Sri Lanka in England, Only T20 International, 2016 ",50.90970040000001,-1.4043509
12,SCO vs AFG,2nd ODI,"Jul 06,2016",15:15 (IST)," Grange Cricket Club, Raeburn Place, Edinburgh "," Afghanistan in Scotland, 2 ODI Series, 2016 ",55.95913780000001,-3.2127506
13,IRE vs AFG,1st ODI,"Jul 10,2016",15:15 (IST)," Civil Service Cricket Club, Stormont, Belfast "," Afghanistan in Ireland, 5 ODI Series, 2016 ",54.60232999999999,-5.82754
14,IRE vs AFG,2nd ODI,"Jul 12,2016",15:15 (IST)," Civil Service Cricket Club, Stormont, Belfast "," Afghanistan in Ireland, 5 ODI Series, 2016 ",54.60232999999999,-5.82754
15,IRE vs AFG,3rd ODI,"Jul 14,2016",15:15 (IST)," Civil Service Cricket Club, Stormont, Belfast "," Afghanistan in Ireland, 5 ODI Series, 2016 ",54.60232999999999,-5.82754
16,ENG vs PAK,1st Test,"Jul 14-18,2016",15:30 (IST)," Lord's, London "," Pakistan in England, 4 Test Series, 2016 ",51.5289171,-0.1748869
17,IRE vs AFG,4th ODI,"Jul 17,2016",15:15 (IST)," Civil Service Cricket Club, Stormont, Belfast "," Afghanistan in Ireland, 5 ODI Series, 2016 ",54.60232999999999,-5.82754
18,IRE vs AFG,5th ODI,"Jul 19,2016",15:15 (IST)," Civil Service Cricket Club, Stormont, Belfast "," Afghanistan in Ireland, 5 ODI Series, 2016 ",54.60232999999999,-5.82754
19,WI vs IND,1st Test,"Jul 21-25,2016",19:30 (IST)," Sir Vivian Richards Stadium, Antigua "," India in West Indies, 4 Test Series, 2016 ",17.0746557,-61.8175207
20,ENG vs PAK,2nd Test,"Jul 22-26,2016",15:30 (IST)," Old Trafford, Manchester "," Pakistan in England, 4 Test Series, 2016 ",53.46165999999999,-2.271707
21,SL vs AUS,1st Test,"Jul 26-30,2016",10:00 (IST)," Pallekele International Cricket Stadium, Kandy "," Warne-Muralitharan Trophy, 2016 ",,
22,ZIM vs NZ,1st Test,"Jul 28-Aug 01,2016",13:30 (IST)," Queens Sports Club, Bulawayo "," New Zealand in Zimbabwe, 2 Test Series, 2016 ",-20.1647519,28.5703144
23,WI vs IND,2nd Test,"Jul 30-Aug 03,2016",20:30 (IST)," Sabina Park, Kingston, Jamaica "," India in West Indies, 4 Test Series, 2016 ",17.9779338,-76.78252169999999
24,ENG vs PAK,3rd Test,"Aug 03-07,2016",15:30 (IST)," Edgbaston, Birmingham "," Pakistan in England, 4 Test Series, 2016 ",52.4608009,-1.914995
25,SL vs AUS,2nd Test,"Aug 04-08,2016",10:00 (IST)," Galle International Stadium, Galle "," Warne-Muralitharan Trophy, 2016 ",,
26,ZIM vs NZ,2nd Test,"Aug 06-10,2016",13:30 (IST)," Queens Sports Club, Bulawayo "," New Zealand in Zimbabwe, 2 Test Series, 2016 ",-20.1647519,28.5703144
27,WI vs IND,3rd Test,"Aug 09-13,2016",19:30 (IST)," Darren Sammy National Cricket Stadium, St Lucia "," India in West Indies, 4 Test Series, 2016 ",,
28,ENG vs PAK,4th Test,"Aug 11-15,2016",15:30 (IST)," The Oval, London "," Pakistan in England, 4 Test Series, 2016 ",51.5329973,-0.0590888
29,SL vs AUS,3rd Test,"Aug 13-17,2016",10:00 (IST)," Sinhalese Sports Club, Colombo "," Warne-Muralitharan Trophy, 2016 ",6.9270786,79.861243
30,SCO vs UAE,1st ODI,"Aug 14,2016",15:30 (IST)," Mannofield Park, Aberdeen "," United Arab Emirates in Scotland, 2 ODI Series, 2016 ",57.1550338,-2.0882269
31,SCO vs UAE,2nd ODI,"Aug 16,2016",15:30 (IST)," Mannofield Park, Aberdeen "," United Arab Emirates in Scotland, 2 ODI Series, 2016 ",57.1550338,-2.0882269
32,IRE vs PAK,1st ODI,"Aug 18,2016",15:15 (IST), To Be Confirmed ," Pakistan in Ireland, 2 ODI Series, 2016 ",,
33,WI vs IND,4th Test,"Aug 18-22,2016",19:30 (IST)," Queen's Park Oval, Port of Spain, Trinidad "," India in West Indies, 4 Test Series, 2016 ",10.664087,-61.5127902
34,SA vs NZ,1st Test,"Aug 19-23,2016",14:00 (IST)," Kingsmead, Durban "," New Zealand in South Africa, 2 Test Series, 2016 ",-29.8480046,31.0284445
35,IRE vs PAK,2nd ODI,"Aug 20,2016",15:15 (IST), To Be Confirmed ," Pakistan in Ireland, 2 ODI Series, 2016 ",,
36,SL vs AUS,1st ODI,"Aug 21,2016",10:00 (IST)," R.Premadasa Stadium, Colombo "," Australia in Sri Lanka, 5 ODI Series, 2016 ",6.9270786,79.861243
37,SL vs AUS,2nd ODI,"Aug 24,2016",10:00 (IST)," R.Premadasa Stadium, Colombo "," Australia in Sri Lanka, 5 ODI Series, 2016 ",6.9270786,79.861243
38,ENG vs PAK,1st ODI,"Aug 24,2016",18:30 (IST)," The Rose Bowl, Southampton "," Pakistan in England, 5 ODI Series, 2016 ",50.90970040000001,-1.4043509
39,ENG vs PAK,2nd ODI,"Aug 27,2016",15:00 (IST)," Lord's, London "," Pakistan in England, 5 ODI Series, 2016 ",51.5289171,-0.1748869
40,SA vs NZ,2nd Test,"Aug 27-31,2016",14:00 (IST)," SuperSport Park, Centurion "," New Zealand in South Africa, 2 Test Series, 2016 ",,
41,SL vs AUS,3rd ODI,"Aug 28,2016",10:00 (IST)," Rangiri Dambulla International Stadium, Rangiri "," Australia in Sri Lanka, 5 ODI Series, 2016 ",,
42,ENG vs PAK,3rd ODI,"Aug 30,2016",18:30 (IST)," Trent Bridge, Nottingham "," Pakistan in England, 5 ODI Series, 2016 ",52.937772,-1.1313849
43,SL vs AUS,4th ODI,"Aug 31,2016",10:00 (IST)," Rangiri Dambulla International Stadium, Rangiri "," Australia in Sri Lanka, 5 ODI Series, 2016 ",,
44,ENG vs PAK,4th ODI,"Sep 01,2016",18:30 (IST)," Headingley, Leeds "," Pakistan in England, 5 ODI Series, 2016 ",53.8215574,-1.5757947
45,ENG vs PAK,5th ODI,"Sep 04,2016",15:00 (IST)," Sophia Gardens, Cardiff "," Pakistan in England, 5 ODI Series, 2016 ",51.484295,-3.1895088
46,SL vs AUS,5th ODI,"Sep 04,2016",10:00 (IST)," Pallekele International Cricket Stadium, Kandy "," Australia in Sri Lanka, 5 ODI Series, 2016 ",,
47,IRE vs HK,1st T20I,"Sep 05,2016",20:00 (IST)," Bready Cricket Club, Magheramason, Bready "," Hong Kong in Ireland T20I series, 2016 ",54.9355531,-7.377361899999999
48,IRE vs HK,2nd T20I,"Sep 06,2016",20:00 (IST)," Bready Cricket Club, Magheramason, Bready "," Hong Kong in Ireland T20I series, 2016 ",54.9355531,-7.377361899999999
49,SL vs AUS,1st T20I,"Sep 06,2016",18:00 (IST)," Pallekele International Cricket Stadium, Kandy "," Australia in Sri Lanka, 2 T20I Series, 2016 ",,
50,ENG vs PAK,One-off T20I,"Sep 07,2016",23:00 (IST)," Old Trafford, Manchester "," Pakistan in England, Only T20 International, 2016 ",53.46165999999999,-2.271707
51,SCO vs HK,1st ODI,"Sep 08,2016",15:15 (IST)," Grange Cricket Club, Raeburn Place, Edinburgh "," Hong Kong in Scotland, 2 ODI Series, 2016 ",55.95913780000001,-3.2127506
52,SL vs AUS,2nd T20I,"Sep 09,2016",18:00 (IST)," R.Premadasa Stadium, Colombo "," Australia in Sri Lanka, 2 T20I Series, 2016 ",6.9270786,79.861243
53,SCO vs HK,2nd ODI,"Sep 10,2016",15:15 (IST)," Grange Cricket Club, Raeburn Place, Edinburgh "," Hong Kong in Scotland, 2 ODI Series, 2016 ",55.95913780000001,-3.2127506
54,SA vs IRE,One-off ODI,"Sep 25,2016",13:30 (IST)," Willowmoore Park, Benoni "," Ireland in South Africa, Only ODI, 2016 ",,
55,AUS vs IRE,One-off ODI,"Sep 27,2016",13:30 (IST)," Willowmoore Park, Benoni "," Australia and Ireland in South Africa, Only ODI, 2016 ",,
56,SA vs AUS,1st ODI,"Sep 30,2016",16:00 (IST)," SuperSport Park, Centurion "," Australia in South Africa, 5 ODI Series, 2016 ",,
57,SA vs AUS,2nd ODI,"Oct 02,2016",13:30 (IST)," The Wanderers Stadium, Johannesburg "," Australia in South Africa, 5 ODI Series, 2016 ",-26.1906174,28.0257739
58,SA vs AUS,3rd ODI,"Oct 05,2016",16:00 (IST)," Kingsmead, Durban "," Australia in South Africa, 5 ODI Series, 2016 ",-29.8480046,31.0284445
59,SA vs AUS,4th ODI,"Oct 09,2016",13:30 (IST)," St George's Park, Port Elizabeth "," Australia in South Africa, 5 ODI Series, 2016 ",-33.823325,25.651053
60,SA vs AUS,5th ODI,"Oct 12,2016",16:00 (IST)," Newlands, Cape Town "," Australia in South Africa, 5 ODI Series, 2016 ",-33.9789129,18.4483763
61,AUS vs SA,1st Test,"Nov 03-07,2016",07:30 (IST)," W.A.C.A. Ground, Perth "," South Africa in Australia, 3 Test Series, 2016 ",-31.9466025,115.7895081
62,HK vs PNG,1st ODI,"Nov 04,2016",07:00 (IST)," Mission Road Ground, Mong Kok "," Papua New Guinea in Hong Kong, 3 ODI Series, 2016 ",,
63,HK vs PNG,2nd ODI,"Nov 06,2016",07:00 (IST)," Mission Road Ground, Mong Kok "," Papua New Guinea in Hong Kong, 3 ODI Series, 2016 ",,
64,HK vs PNG,3rd ODI,"Nov 08,2016",07:00 (IST)," Mission Road Ground, Mong Kok "," Papua New Guinea in Hong Kong, 3 ODI Series, 2016 ",,
65,AUS vs SA,2nd Test,"Nov 12-16,2016",05:30 (IST)," Bellerive Oval, Hobart "," South Africa in Australia, 3 Test Series, 2016 ",-42.8772963,147.3740128
66,NZ vs PAK,1st Test,"Nov 17-21,2016",03:00 (IST)," Hagley Oval, Christchurch "," Pakistan in New Zealand, 2 Test Series, 2016 ",-43.53728330000001,172.6223843
67,AUS vs SA,3rd Test,"Nov 24-28,2016",05:30 (IST)," Adelaide Oval, Adelaide "," South Africa in Australia, 3 Test Series, 2016 ",-34.9648293,138.5478015
68,NZ vs PAK,2nd Test,"Nov 25-29,2016",03:00 (IST)," Seddon Park, Hamilton "," Pakistan in New Zealand, 2 Test Series, 2016 ",-37.7841664,175.2705288
69,AUS vs NZ,1st ODI,"Dec 04,2016",05:30 (IST)," Sydney Cricket Ground (SCG), Sydney "," Chappell-Hadlee Trophy, 2016 ",-33.8688197,151.2092955
70, ,2nd ODI,"Dec 06,2016",05:30 (IST)," Manuka Oval, Canberra "," Chappell-Hadlee Trophy, 2016 ",-35.3179685,149.1346741
71,AUS vs NZ,3rd ODI,"Dec 09,2016",05:30 (IST)," Melbourne Cricket Ground (MCG), Melbourne "," Chappell-Hadlee Trophy, 2016 ",-37.8162789,144.9642459
72,AUS vs PAK,1st Test,"Dec 15-19,2016",05:30 (IST)," Brisbane Cricket Ground (Woolloongabba), Brisbane "," Pakistan in Australia, 3 Test Series, 2016/17 ",-27.485702,153.0379379
73,AUS vs PAK,2nd Test,"Dec 26-30,2016",05:30 (IST)," Melbourne Cricket Ground (MCG), Melbourne "," Pakistan in Australia, 3 Test Series, 2016/17 ",-37.8162789,144.9642459
74,SA vs SL,1st Test,"Dec 26-30,2016",13:30 (IST)," St George's Park, Port Elizabeth "," Sri Lanka in South Africa, 3 Test Series, 2016/17 ",-33.823325,25.651053
75,NZ vs BAN,1st ODI,"Dec 26,2016",03:30 (IST)," Hagley Oval, Christchurch "," Bangladesh in New Zealand, 3 ODI Series, 2016 ",-43.53728330000001,172.6223843
76,NZ vs BAN,2nd ODI,"Dec 29,2016",03:30 (IST)," Saxton Oval, Nelson "," Bangladesh in New Zealand, 3 ODI Series, 2016 ",-41.3310446,173.2127859
77,NZ vs BAN,3rd ODI,"Dec 31,2016",03:30 (IST)," Saxton Oval, Nelson "," Bangladesh in New Zealand, 3 ODI Series, 2016 ",-41.3310446,173.2127859
78,SA vs SL,2nd Test,"Jan 02-06,2017",13:30 (IST)," Newlands, Cape Town "," Sri Lanka in South Africa, 3 Test Series, 2016/17 ",-33.9789129,18.4483763
79,AUS vs PAK,3rd Test,"Jan 03-07,2017",05:30 (IST)," Melbourne Cricket Ground (MCG), Melbourne "," Pakistan in Australia, 3 Test Series, 2016/17 ",-37.8162789,144.9642459
80,NZ vs BAN,1st T20I,"Jan 03,2017",07:30 (IST)," McLean Park, Napier "," Bangladesh in New Zealand, 3 T20I Series, 2017 ",-39.50357169999999,176.9079247
81,NZ vs BAN,2nd T20I,"Jan 06,2017",07:30 (IST)," Bay Oval, Mount Maunganui "," Bangladesh in New Zealand, 3 T20I Series, 2017 ",-36.8182065,174.7292544
82,NZ vs BAN,3rd T20I,"Jan 08,2017",07:30 (IST)," Bay Oval, Mount Maunganui "," Bangladesh in New Zealand, 3 T20I Series, 2017 ",-36.8182065,174.7292544
83,NZ vs BAN,1st Test,"Jan 12-16,2017",03:00 (IST)," Basin Reserve, Wellington "," Bangladesh in New Zealand, 3 Test Series, 2017 ",-41.3003208,174.7801835
84,SA vs SL,3rd Test,"Jan 12-16,2017",13:30 (IST)," The Wanderers Stadium, Johannesburg "," Sri Lanka in South Africa, 3 Test Series, 2016/17 ",-26.1906174,28.0257739
85,AUS vs PAK,1st ODI,"Jan 13,2017",05:30 (IST)," Brisbane Cricket Ground (Woolloongabba), Brisbane "," Pakistan in Australia, 5 ODI Series, 2017 ",-27.485702,153.0379379
86,AUS vs PAK,2nd ODI,"Jan 15,2017",05:30 (IST)," Melbourne Cricket Ground (MCG), Melbourne "," Pakistan in Australia, 5 ODI Series, 2017 ",-37.8162789,144.9642459
87,AUS vs PAK,3rd ODI,"Jan 19,2017",05:30 (IST)," W.A.C.A. Ground, Perth "," Pakistan in Australia, 5 ODI Series, 2017 ",-31.9466025,115.7895081
88,SA vs SL,1st T20I,"Jan 20,2017",21:30 (IST)," SuperSport Park, Centurion "," Sri Lanka in South Africa, 3 T20 International Series, 2017 ",,
89,NZ vs BAN,2nd Test,"Jan 20-24,2017",03:00 (IST)," Hagley Oval, Christchurch "," Bangladesh in New Zealand, 3 Test Series, 2017 ",-43.53728330000001,172.6223843
90,SA vs SL,2nd T20I,"Jan 22,2017",18:00 (IST)," The Wanderers Stadium, Johannesburg "," Sri Lanka in South Africa, 3 T20 International Series, 2017 ",-26.1906174,28.0257739
91,AUS vs PAK,4th ODI,"Jan 22,2017",05:30 (IST)," Sydney Cricket Ground (SCG), Sydney "," Pakistan in Australia, 5 ODI Series, 2017 ",-33.8688197,151.2092955
92,SA vs SL,3rd T20I,"Jan 25,2017",21:30 (IST)," Newlands, Cape Town "," Sri Lanka in South Africa, 3 T20 International Series, 2017 ",-33.9789129,18.4483763
93,AUS vs PAK,5th ODI,"Jan 26,2017",05:30 (IST)," Adelaide Oval, Adelaide "," Pakistan in Australia, 5 ODI Series, 2017 ",-34.9648293,138.5478015
94,SA vs SL,1st ODI,"Jan 28,2017",13:30 (IST)," St George's Park, Port Elizabeth "," Sri Lanka in South Africa, 5 ODI Series, 2017 ",-33.823325,25.651053
95,NZ vs AUS,1st ODI,"Jan 30,2017",06:30 (IST)," Eden Park, Auckland "," Chappell-Hadlee Trophy, 2017 ",-36.8480303,174.7717363
96,SA vs SL,2nd ODI,"Feb 01,2017",17:00 (IST)," Kingsmead, Durban "," Sri Lanka in South Africa, 5 ODI Series, 2017 ",-29.8480046,31.0284445
97,NZ vs AUS,2nd ODI,"Feb 02,2017",06:30 (IST)," McLean Park, Napier "," Chappell-Hadlee Trophy, 2017 ",-39.50357169999999,176.9079247
98,SA vs SL,3rd ODI,"Feb 04,2017",17:00 (IST)," The Wanderers Stadium, Johannesburg "," Sri Lanka in South Africa, 5 ODI Series, 2017 ",-26.1906174,28.0257739
99,NZ vs AUS,3rd ODI,"Feb 05,2017",06:30 (IST)," Seddon Park, Hamilton "," Chappell-Hadlee Trophy, 2017 ",-37.7841664,175.2705288
